epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,157.546,0.49386,1.84505,1.11743,0.81813,0.80414,0.88987,0.786,0.58757,1.69305,1.31812,0.00998989,0.00332996,0.00998989,0.00332996,0.00998989,0.00332996,0.00998989,0.00332996
2,286.506,0.43079,1.09173,1.04295,0.84158,0.83654,0.91182,0.80479,0.5867,1.47635,1.30172,0.019985,0.00666167,0.019985,0.00666167,0.019985,0.00666167,0.019985,0.00666167
3,403.308,0.45485,0.95634,1.04991,0.56812,0.70457,0.72429,0.62629,0.67281,4.17161,1.40312,0.0299606,0.00998687,0.0299606,0.00998687,0.0299606,0.00998687,0.0299606,0.00998687
4,516.25,0.4308,0.87847,1.03788,0.8066,0.77821,0.88546,0.78521,0.53525,1.10211,1.26864,0.0299341,0.00997803,0.0299341,0.00997803,0.0299341,0.00997803,0.0299341,0.00997803
5,629.371,0.39967,0.80687,1.02358,0.85185,0.87406,0.93259,0.8254,0.55216,0.721,1.27569,0.0298829,0.00996097,0.0298829,0.00996097,0.0298829,0.00996097,0.0298829,0.00996097
6,742.452,0.37385,0.75178,1.01301,0.86447,0.87846,0.93597,0.83701,0.4923,0.92134,1.22652,0.0298172,0.00993906,0.0298172,0.00993906,0.0298172,0.00993906,0.0298172,0.00993906
7,855.864,0.3578,0.71374,1.00711,0.8888,0.88609,0.94368,0.84928,0.48025,0.89812,1.21243,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232
8,969.028,0.34373,0.68453,1.00016,0.89862,0.91346,0.9594,0.86027,0.48023,0.83525,1.21019,0.0296424,0.00988079,0.0296424,0.00988079,0.0296424,0.00988079,0.0296424,0.00988079
9,1082.14,0.33176,0.66618,0.99403,0.89464,0.90042,0.95812,0.85654,0.47243,0.67574,1.21347,0.0295335,0.00984449,0.0295335,0.00984449,0.0295335,0.00984449,0.0295335,0.00984449
10,1195.31,0.32026,0.63866,0.99035,0.87822,0.90057,0.95891,0.87002,0.43144,0.5349,1.17818,0.0294104,0.00980345,0.0294104,0.00980345,0.0294104,0.00980345,0.0294104,0.00980345
11,1308.24,0.31756,0.63087,0.98742,0.93019,0.90463,0.96189,0.87212,0.44081,0.63315,1.18207,0.0292732,0.00975773,0.0292732,0.00975773,0.0292732,0.00975773,0.0292732,0.00975773
12,1420.97,0.30943,0.62737,0.98507,0.92345,0.91885,0.96714,0.87175,0.43177,0.43525,1.18359,0.0291221,0.00970736,0.0291221,0.00970736,0.0291221,0.00970736,0.0291221,0.00970736
13,1533.77,0.30827,0.60472,0.98304,0.90126,0.91305,0.96553,0.87252,0.4351,0.61786,1.18152,0.0289572,0.00965239,0.0289572,0.00965239,0.0289572,0.00965239,0.0289572,0.00965239
14,1646.33,0.29944,0.59038,0.98273,0.92002,0.91602,0.95993,0.86989,0.43206,0.46457,1.17464,0.0287787,0.00959289,0.0287787,0.00959289,0.0287787,0.00959289,0.0287787,0.00959289
15,1759.09,0.29812,0.5822,0.97995,0.92737,0.91795,0.97043,0.87527,0.42615,0.40942,1.17531,0.0285867,0.00952889,0.0285867,0.00952889,0.0285867,0.00952889,0.0285867,0.00952889
16,1871.65,0.29415,0.57477,0.97909,0.93222,0.91754,0.969,0.88373,0.40329,0.36876,1.14982,0.0283814,0.00946048,0.0283814,0.00946048,0.0283814,0.00946048,0.0283814,0.00946048
17,1984.22,0.28981,0.56474,0.97678,0.93011,0.92413,0.97178,0.88382,0.41052,0.40981,1.1571,0.0281632,0.00938772,0.0281632,0.00938772,0.0281632,0.00938772,0.0281632,0.00938772
18,2096.51,0.2883,0.55708,0.97574,0.93559,0.92627,0.9715,0.88559,0.39144,0.37479,1.14793,0.027932,0.00931067,0.027932,0.00931067,0.027932,0.00931067,0.027932,0.00931067
19,2209.07,0.28196,0.55562,0.97262,0.944,0.92723,0.97061,0.88542,0.38723,0.36696,1.14082,0.0276883,0.00922942,0.0276883,0.00922942,0.0276883,0.00922942,0.0276883,0.00922942
20,2321.66,0.27893,0.55408,0.97216,0.9481,0.93095,0.97714,0.8935,0.36977,0.31787,1.1351,0.0274321,0.00914405,0.0274321,0.00914405,0.0274321,0.00914405,0.0274321,0.00914405
21,2434.19,0.27863,0.54257,0.97307,0.93619,0.90508,0.96869,0.88802,0.37374,0.34995,1.13588,0.0271639,0.00905463,0.0271639,0.00905463,0.0271639,0.00905463,0.0271639,0.00905463
22,2547.17,0.27583,0.52869,0.96785,0.92405,0.9402,0.97252,0.89443,0.35316,0.32416,1.118,0.0268838,0.00896127,0.0268838,0.00896127,0.0268838,0.00896127,0.0268838,0.00896127
23,2659.43,0.26768,0.5267,0.96744,0.93949,0.92258,0.97185,0.89406,0.34637,0.31905,1.1133,0.0265921,0.00886404,0.0265921,0.00886404,0.0265921,0.00886404,0.0265921,0.00886404
24,2771.8,0.26658,0.51457,0.96687,0.94112,0.92248,0.97432,0.89418,0.36641,0.32224,1.12672,0.0262891,0.00876305,0.0262891,0.00876305,0.0262891,0.00876305,0.0262891,0.00876305
25,2884.5,0.26883,0.51423,0.97,0.9489,0.92816,0.97356,0.89785,0.36117,0.32451,1.11769,0.0259752,0.00865839,0.0259752,0.00865839,0.0259752,0.00865839,0.0259752,0.00865839
26,2997.31,0.26493,0.50812,0.96556,0.94236,0.93686,0.9736,0.89728,0.35437,0.31404,1.11101,0.0256505,0.00855018,0.0256505,0.00855018,0.0256505,0.00855018,0.0256505,0.00855018
27,3110.2,0.26122,0.50225,0.96374,0.93912,0.94339,0.97441,0.90011,0.34133,0.30845,1.11021,0.0253155,0.00843851,0.0253155,0.00843851,0.0253155,0.00843851,0.0253155,0.00843851
28,3222.67,0.25686,0.49684,0.9612,0.94763,0.93909,0.97556,0.90307,0.33461,0.29432,1.10247,0.0249705,0.00832349,0.0249705,0.00832349,0.0249705,0.00832349,0.0249705,0.00832349
29,3335.17,0.26016,0.50349,0.96318,0.96009,0.92808,0.97586,0.90175,0.33435,0.30937,1.09919,0.0246157,0.00820525,0.0246157,0.00820525,0.0246157,0.00820525,0.0246157,0.00820525
30,3447.62,0.25428,0.48894,0.96005,0.96469,0.92814,0.97739,0.90325,0.33029,0.29245,1.10359,0.0242517,0.00808389,0.0242517,0.00808389,0.0242517,0.00808389,0.0242517,0.00808389
31,3560.63,0.2524,0.48826,0.95955,0.95663,0.93207,0.97568,0.9023,0.32425,0.29502,1.101,0.0238786,0.00795954,0.0238786,0.00795954,0.0238786,0.00795954,0.0238786,0.00795954
32,3673.4,0.25113,0.48258,0.95966,0.95367,0.93079,0.97477,0.90401,0.3248,0.28895,1.0985,0.0234969,0.00783231,0.0234969,0.00783231,0.0234969,0.00783231,0.0234969,0.00783231
33,3786,0.25066,0.47204,0.95962,0.95088,0.93431,0.975,0.90556,0.32585,0.28061,1.09846,0.023107,0.00770234,0.023107,0.00770234,0.023107,0.00770234,0.023107,0.00770234
34,3898.85,0.24774,0.47369,0.95867,0.95297,0.93357,0.97617,0.90399,0.32235,0.28556,1.09554,0.0227093,0.00756976,0.0227093,0.00756976,0.0227093,0.00756976,0.0227093,0.00756976
35,4011.35,0.24637,0.46907,0.95719,0.95763,0.9297,0.97478,0.90466,0.32667,0.28944,1.09574,0.022304,0.00743468,0.022304,0.00743468,0.022304,0.00743468,0.022304,0.00743468
36,4123.88,0.24718,0.46427,0.95768,0.94959,0.93314,0.97023,0.90185,0.33101,0.27994,1.10285,0.0218918,0.00729725,0.0218918,0.00729725,0.0218918,0.00729725,0.0218918,0.00729725
37,4236.91,0.24595,0.45568,0.95602,0.94914,0.93146,0.97363,0.90148,0.32477,0.2846,1.09985,0.0214728,0.00715761,0.0214728,0.00715761,0.0214728,0.00715761,0.0214728,0.00715761
